zone_id,latitude,longitude,date,rainfall_24h,rainfall_3day,rainfall_7day,soil_moisture,elevation,slope,land_cover,historical_landslide,label
SIKKIM-001,27.873956,88.801713,2026-03-14,49.27,93.19,422.48,0.96,1265.78,23.25,forest,0,0
SIKKIM-002,27.538878,88.804102,2026-03-15,20.05,204.87,327.69,0.732,1588.35,4.44,agriculture,1,0
SIKKIM-003,27.958598,88.466973,2026-03-16,96.44,145.21,265.22,0.584,1328.86,15.57,forest,0,0
SIKKIM-004,27.797368,88.284336,2026-03-17,50.06,133.61,203.91,0.494,1429.56,18.63,forest,0,0
SIKKIM-005,27.194177,88.694811,2026-03-18,145.27,241.87,550.35,0.966,1487.73,14.5,agriculture,0,1
SIKKIM-006,28.075622,88.595495,2026-03-19,88.56,132.32,224.15,0.614,1124.53,1.0,forest,0,0
SIKKIM-007,27.86114,88.336292,2026-03-20,39.48,123.68,289.15,0.688,1705.42,16.04,agriculture,0,0
SIKKIM-008,27.886064,88.08502,2026-03-21,68.24,94.52,280.93,0.647,2848.84,25.17,forest,1,0
SIKKIM-009,27.228114,88.672111,2026-03-22,139.89,215.94,367.6,0.579,597.05,8.59,forest,1,0
SIKKIM-010,27.550386,88.236214,2026-03-23,69.57,160.84,205.79,0.467,1605.53,13.34,forest,0,1
SIKKIM-011,27.470798,88.843132,2026-03-24,43.61,54.63,267.67,0.751,1085.11,10.14,forest,0,0
SIKKIM-012,28.026765,88.216874,2026-03-25,86.74,135.0,226.15,0.545,1727.15,18.5,forest,0,0
SIKKIM-013,27.743865,88.110482,2026-03-26,76.42,193.86,425.27,0.933,1472.35,20.32,grassland,0,1
SIKKIM-014,27.922762,88.748001,2026-03-27,129.09,168.89,303.4,0.606,1815.69,17.09,forest,0,1
SIKKIM-015,27.543414,88.137956,2026-03-28,108.11,238.38,432.03,0.98,2014.24,17.84,agriculture,0,1
SIKKIM-016,27.327239,88.161341,2026-03-29,65.75,204.3,500.51,0.98,1542.36,18.08,agriculture,0,0
SIKKIM-017,27.654585,88.539445,2026-03-30,192.14,309.25,517.39,0.98,1993.39,5.58,forest,1,1
SIKKIM-018,27.163817,88.787106,2026-03-31,81.53,240.15,436.79,0.98,324.74,11.41,agriculture,0,1
SIKKIM-019,27.927631,88.176791,2026-04-01,19.62,44.37,263.44,0.777,2213.42,22.7,forest,1,0
SIKKIM-020,27.731664,88.279291,2026-04-02,19.64,199.68,277.35,0.652,1630.03,18.36,forest,0,1
SIKKIM-021,27.858088,88.699664,2026-04-03,100.81,145.13,382.62,0.791,1967.36,28.42,forest,1,1
SIKKIM-022,27.454526,88.874644,2026-04-04,90.98,195.18,311.59,0.703,864.46,1.0,grassland,0,0
SIKKIM-023,28.070698,88.450667,2026-04-05,54.03,325.65,444.71,0.975,1051.23,1.0,urban,0,0
SIKKIM-024,27.993121,88.129508,2026-04-06,46.57,121.46,269.99,0.657,1520.05,19.35,forest,1,0
SIKKIM-025,27.878383,88.012543,2026-04-07,122.12,220.38,329.4,0.725,1441.82,16.48,agriculture,1,1
SIKKIM-026,27.294639,88.20669,2026-04-08,106.55,151.09,216.93,0.701,1585.87,19.05,grassland,0,0
SIKKIM-027,27.566721,88.11864,2026-04-09,66.95,336.94,478.07,0.976,1970.57,17.07,forest,0,1
SIKKIM-028,27.143804,88.609893,2026-04-10,126.45,174.79,294.24,0.887,602.69,15.14,grassland,0,0
SIKKIM-029,27.254289,88.109649,2026-04-11,105.98,252.28,368.81,0.825,1917.43,27.8,agriculture,0,1
SIKKIM-030,27.783049,88.455697,2026-04-12,69.94,275.85,407.47,0.98,1453.98,20.5,bare_land,0,1
